participant,session,forced,wadSlope,succOddsSlope,pressesSlope,wadMeanRecent,pressesMeanRecent,successRateRecent,wadDiff,succDiff,surpBeta0,surpWadMu,surpWadSigma
Alex,1,True,-16.027957508893707,0.0,1.393939393939395,450.77725012198806,14.6,0.0,0.0,0.0,-2.172933481695625,1.8037366261025574,1.6593319549477217
Amaury,1,True,-1.5524973338118084,0.0218486273135984,-0.0594758064516131,162.46800675044133,33.75,0.4375,0.4443622859012919,-0.0141129032258064,-1.4910537425631558,0.8203638927140808,1.0573135072206192
Arkemousse,1,False,15.336889143656418,0.0,-0.7666666666666666,418.8173782203674,9.2,0.0,17.00111683184906,0.0,-1.2691050066562262,0.8689776886201606,1.2156565172815517
Arkemousse,1,True,-1.8268629579160212,0.1512573919503721,0.3784877995404305,297.1104781493334,22.63157894736842,0.1052631578947368,0.0,0.0,-1.2691050066562262,0.8689776886201606,1.2156565172815517
Asher,1,True,1.441825654515865,0.0554087085490888,0.0423344947735186,354.7092646863035,17.857142857142858,0.0476190476190476,-2.6565897061090595,-0.0023809523809523,-1.7592120301722587,1.281412558241675,0.8926258894355403
Funibus,1,True,-1.2074025182455896,0.0,0.2443602856177166,317.62951070582363,16.77777777777778,0.0,0.0,0.0,-1.7856326745031676,1.0505395000545574,0.871020462487268
Funibus,2,True,-2.9818832517727447,0.0676346190730823,-0.1228715728715726,176.03731849128488,22.75,0.3214285714285714,0.1383597519923967,-0.0119047619047618,-1.6658202914406743,0.946345492497431,0.8852844436199481
Funibus,3,True,-0.8175590282900368,0.0035274575795819,-0.0278917503273682,141.3684021028434,28.16,0.56,-0.5829499911577045,-0.0233333333333333,0.010125205033790347,0.5838803332625729,0.8052274973329637
GMFlash,1,True,0.1877171525502047,0.0,-0.0091351646572962,381.3497579536562,27.23076923076923,0.0,0.0,0.0,-3.6899346210436663,0.9487238431126341,0.83281991247223
Isabelle,1,True,-0.9295946354403776,0.0,0.0935537190082644,425.6285744469753,3.272727272727273,0.0,16.31568473521105,0.0,-2.0055992502949573,0.9929248188187321,1.096715172930091
Jahier,1,True,-0.7571735336574157,0.0,0.2478999086106137,294.66802350266045,19.227272727272727,0.0,0.0,0.0,-2.508934880253552,0.9967711670118524,0.8055121394566773
Jahier,2,True,0.4853733882927349,0.0655859703621938,0.6247779111644662,312.76198335611423,38.84,0.04,0.0,0.0,-0.34191583283233495,0.754875597570765,0.920033823258166
Jahier,3,True,-2.742081010025295,0.1076239498483662,0.6706787330316744,241.5773578305338,35.84615384615385,0.1153846153846153,15.778402979514963,-0.0046153846153846,-0.15176969185515415,0.9803470354982936,0.7199247605995198
Joris104,1,True,-3.70301170288698,0.0707175754446484,0.6406242496998805,152.19374375479663,53.04,0.68,0.0,0.0,-1.1065142063272282,1.2691244099748247,1.4207332653584046
Louis,1,True,-2.5395184854906265,0.0632547045954088,-0.6620403059097753,116.71540609099225,27.95833333333333,0.6666666666666666,0.0,0.0,-0.4255797263531905,1.0514424415275774,1.0611519216387426
Louis,2,True,0.1953888244628426,0.0044281760388759,-0.1807995227692283,144.72197050166048,21.44117647058824,0.6176470588235294,0.7685554546225148,-0.0187165775401069,0.018643125585436172,0.7348625580947833,0.8614032990483106
