date,participant,session,trial,wind,init_site,plat_site,init_dist,end_dist,time_trial,time_block,fuel,presses,outcome,interruptions,forced,fad,wad,cwad,cfad
07/16 12:27:46,Joris104,1,50,-1.73,1,0,309.15,18.41,18.2,1253.6,454,48,crash,1,True,128.43571510930275,81.31780474430367,-81.31780474430367,-128.43571510930275
07/16 12:27:27,Joris104,1,49,0.43,2,1,485.77,13.38,17.4,1235.1,368,46,success,1,True,201.95965402410556,106.20036228947198,106.20036228947198,201.95965402410556
07/16 12:27:09,Joris104,1,48,1.72,0,2,655.45,285.39,8.9,1217.2,291,20,crash,1,True,457.4441692252717,372.89873725048966,-372.89873725048966,-457.4441692252717
07/16 12:27:00,Joris104,1,47,0.75,1,0,433.72,8.26,14.1,1208.0,403,26,success,1,True,170.84641314279713,80.67714753848361,80.67714753848361,170.84641314279713
07/16 12:26:45,Joris104,1,46,2.95,1,0,373.9,46.64,45.2,1193.2,1451,124,crash,1,True,182.96434018287675,137.38705711432465,-137.38705711432465,-182.96434018287675
07/16 12:25:59,Joris104,1,45,0.01,2,1,359.76,5.6,24.1,1146.9,405,62,success,1,True,142.86447975754928,85.25755819232378,85.25755819232378,142.86447975754928
07/16 12:25:35,Joris104,1,44,-0.38,1,2,305.42,17.82,18.4,1122.4,402,38,success,1,True,155.44095230560757,97.30932965475898,97.30932965475898,155.44095230560757
07/16 12:25:16,Joris104,1,43,2.96,1,2,467.33,13.39,18.6,1103.6,352,40,success,1,True,143.89581634133117,65.66699344218839,65.66699344218839,143.89581634133117
07/16 12:24:57,Joris104,1,42,1.62,0,2,690.56,20.45,26.7,1084.4,924,76,success,1,True,242.08065012820734,115.79108016496446,115.79108016496446,242.08065012820734
07/16 12:24:28,Joris104,1,41,-0.76,2,0,679.62,9.78,26.5,1056.1,706,74,success,1,True,261.95916104135745,143.52997331758831,143.52997331758831,261.95916104135745
07/16 12:24:02,Joris104,1,40,-0.73,1,2,321.14,6.47,17.1,1029.3,200,32,success,1,True,160.55508820498483,94.10915850527066,94.10915850527066,160.55508820498483
07/16 12:23:43,Joris104,1,39,-0.17,1,0,402.79,8.3,21.2,1010.9,553,54,success,1,True,179.9618272737266,107.26999614794306,107.26999614794306,179.9618272737266
07/16 12:23:21,Joris104,1,38,-1.57,1,2,382.41,2.78,21.0,989.1,536,56,success,1,True,152.63071009620649,71.49779799669795,71.49779799669795,152.63071009620649
07/16 12:23:00,Joris104,1,37,0.19,1,2,448.36,11.5,20.7,967.4,400,50,success,1,True,181.98739020078844,107.80514108885859,107.80514108885859,181.98739020078844
07/16 12:22:40,Joris104,1,36,0.88,0,2,713.82,6.47,38.6,946.4,1450,106,success,1,True,197.2679683011981,96.05736860961653,96.05736860961653,197.2679683011981
07/16 12:22:00,Joris104,1,35,0.83,2,1,518.44,534.47,5.3,907.3,93,10,offscreen,1,True,511.5466464323776,511.18667341323203,-511.18667341323203,-511.5466464323776
07/16 12:21:54,Joris104,1,34,2.23,2,0,650.12,42.12,20.5,901.3,558,32,crash,1,True,358.62872589362456,241.12092882013908,-241.12092882013908,-358.62872589362456
07/16 12:21:32,Joris104,1,33,-2.69,0,2,568.23,9.05,23.8,880.0,846,64,success,1,True,236.0914278202111,125.82236555826776,125.82236555826776,236.0914278202111
07/16 12:21:08,Joris104,1,32,0.26,0,2,673.06,154.31,11.9,855.3,598,18,offscreen,1,True,376.544228282805,240.8611302144437,-240.8611302144437,-376.544228282805
07/16 12:20:55,Joris104,1,31,-0.63,2,0,576.3,13.48,27.3,842.7,859,64,success,1,True,189.5777846022776,110.40964586385986,110.40964586385986,189.5777846022776
07/16 12:20:27,Joris104,1,30,-3.11,2,1,433.68,9.42,32.8,814.8,977,88,success,1,True,167.17364963112288,102.46954093598724,102.46954093598724,167.17364963112288
07/16 12:19:53,Joris104,1,29,1.78,1,0,576.98,63.93,27.7,781.0,799,64,crash,1,True,393.83077808112176,320.95943714382855,-320.95943714382855,-393.83077808112176
07/16 12:19:25,Joris104,1,28,0.21,2,0,716.33,7.99,18.6,752.7,455,42,success,1,True,279.0610056058211,135.9259146233421,135.9259146233421,279.0610056058211
07/16 12:19:06,Joris104,1,27,1.45,1,2,472.47,15.53,18.5,733.5,317,42,success,1,True,192.96033173406738,110.98285205929804,110.98285205929804,192.96033173406738
07/16 12:18:47,Joris104,1,26,0.75,1,0,502.06,34.75,20.4,714.3,714,50,crash,1,True,232.6707307610696,142.3295991802325,-142.3295991802325,-232.6707307610696
07/16 12:18:25,Joris104,1,25,1.7,1,2,536.25,50.87,8.8,693.2,595,14,crash,1,True,300.8243807645061,205.31302705268484,-205.31302705268484,-300.8243807645061
07/16 12:18:04,Joris104,1,24,-1.75,1,0,524.9,28.52,20.7,671.7,560,21,crash,0,True,177.49351307181783,85.16574622955494,-85.16574622955494,-177.49351307181783
