component,prompt,response,reverse,max_val,question,inst,qid
Amotivation,I do this activity but I am not sure if it is worth my time,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-9,sims,9
External regulation,Because I feel that I have to do it,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-8,sims,8
Identified regulation,Because I believe that this game is important for me,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-7,sims,7
Intrinsic motivation,Because I feel good when playing this game,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-6,sims,6
Amotivation,I don’t know; I don’t see what this game brings me,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-5,sims,5
External regulation,Because I am supposed to do it,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-4,sims,4
Identified regulation,It is for my own good,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-3,sims,3
Intrinsic motivation,Because this game is fun,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-2,sims,2
Amotivation,"There may be good reasons for practicing this game, but personally I don’t see any",Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-18,sims,18
External regulation,Because I don’t have any choice,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-17,sims,17
Identified regulation,Because I think that this activity is good for me,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-16,sims,16
Intrinsic motivation,Because I think that this activity is pleasant,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-15,sims,15
Amotivation,"I keep practicing, but I am not sure I should continue",Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-14,sims,14
External regulation,Because it is something that I have to do,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-13,sims,13
Identified regulation,Because I feel like playing this game,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-12,sims,12
Intrinsic motivation,Because I think that this game is interesting,Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-11,sims,11
,"Read each item carefully. Using the scale below, please indicate <i>how much each item describes the reason why you are engaged in this activity</i> (i.e., Lunar Lander game).",Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-10,sims,10
,"Read each item carefully. Using the scale below, please indicate <i>how much each item describes the reason why you are engaged in this activity</i> (i.e., Lunar Lander game).",Not at all~Very little~A little~Moderately~Enough~A lot~Exactly,False,7.0,sims-1,sims,1
Frustration,"How insecure, discouraged, irritated, stressed, and annoyed were you while playing the game?",Very Low~Very High,False,20.0,tlx-6,tlx,6
Effort,How hard did you have to work to perform at your level of performance in the game?,Very Low~Very High,False,20.0,tlx-5,tlx,5
Performance,How successful were you in the game?,Perfect~Failure,False,20.0,tlx-4,tlx,4
Temporal demand,How hurried or rushed was the pace of the game?,Very Low~Very High,False,20.0,tlx-3,tlx,3
Physical demand,How physically demanding was the game?,Very Low~Very High,False,20.0,tlx-2,tlx,2
