id,participant,question,session,value,study
457,jold_ll -- mgalharret,jold-mslq-6,jold_ll.1.1,5,jold_ll
456,jold_ll -- mgalharret,jold-mslq-11,jold_ll.1.1,1,jold_ll
455,jold_ll -- mgalharret,jold-mslq-16,jold_ll.1.1,2,jold_ll
454,jold_ll -- mgalharret,jold-mslq-21,jold_ll.1.1,7,jold_ll
453,jold_ll -- mgalharret,jold-mslq-7,jold_ll.1.1,2,jold_ll
452,jold_ll -- mgalharret,jold-mslq-12,jold_ll.1.1,2,jold_ll
451,jold_ll -- mgalharret,jold-mslq-17,jold_ll.1.1,6,jold_ll
450,jold_ll -- mgalharret,jold-mslq-22,jold_ll.1.1,1,jold_ll
449,jold_ll -- mgalharret,jold-mslq-8,jold_ll.1.1,2,jold_ll
448,jold_ll -- mgalharret,jold-mslq-13,jold_ll.1.1,1,jold_ll
447,jold_ll -- mgalharret,jold-mslq-18,jold_ll.1.1,5,jold_ll
446,jold_ll -- mgalharret,jold-mslq-23,jold_ll.1.1,5,jold_ll
445,jold_ll -- mgalharret,jold-mslq-9,jold_ll.1.1,2,jold_ll
444,jold_ll -- mgalharret,jold-mslq-14,jold_ll.1.1,6,jold_ll
443,jold_ll -- mgalharret,jold-mslq-19,jold_ll.1.1,3,jold_ll
442,jold_ll -- mgalharret,jold-mslq-24,jold_ll.1.1,6,jold_ll
441,jold_ll -- mgalharret,jold-mslq-5,jold_ll.1.1,6,jold_ll
440,jold_ll -- mgalharret,jold-mslq-10,jold_ll.1.1,2,jold_ll
439,jold_ll -- mgalharret,jold-mslq-15,jold_ll.1.1,2,jold_ll
438,jold_ll -- mgalharret,jold-mslq-20,jold_ll.1.1,3,jold_ll
437,jold_ll -- mgalharret,jold-mslq-25,jold_ll.1.1,6,jold_ll
436,jold_ll -- mgalharret,sims-18,jold_ll.1.1,1,jold_ll
435,jold_ll -- mgalharret,sims-17,jold_ll.1.1,0,jold_ll
434,jold_ll -- mgalharret,sims-16,jold_ll.1.1,2,jold_ll
433,jold_ll -- mgalharret,sims-15,jold_ll.1.1,1,jold_ll
432,jold_ll -- mgalharret,sims-14,jold_ll.1.1,0,jold_ll
431,jold_ll -- mgalharret,sims-13,jold_ll.1.1,4,jold_ll
430,jold_ll -- mgalharret,sims-12,jold_ll.1.1,1,jold_ll
429,jold_ll -- mgalharret,sims-11,jold_ll.1.1,2,jold_ll
428,jold_ll -- mgalharret,sims-9,jold_ll.1.1,2,jold_ll
427,jold_ll -- mgalharret,sims-8,jold_ll.1.1,4,jold_ll
426,jold_ll -- mgalharret,sims-7,jold_ll.1.1,1,jold_ll
425,jold_ll -- mgalharret,sims-6,jold_ll.1.1,1,jold_ll
424,jold_ll -- mgalharret,sims-5,jold_ll.1.1,1,jold_ll
423,jold_ll -- mgalharret,sims-4,jold_ll.1.1,2,jold_ll
422,jold_ll -- mgalharret,sims-3,jold_ll.1.1,0,jold_ll
421,jold_ll -- mgalharret,sims-2,jold_ll.1.1,1,jold_ll
420,jold_ll -- mgalharret,jold-tlx-6,jold_ll.1.1,16,jold_ll
419,jold_ll -- mgalharret,jold-tlx-5,jold_ll.1.1,16,jold_ll
418,jold_ll -- mgalharret,jold-tlx-4,jold_ll.1.1,2,jold_ll
417,jold_ll -- mgalharret,jold-tlx-3,jold_ll.1.1,16,jold_ll
416,jold_ll -- mgalharret,jold-tlx-2,jold_ll.1.1,1,jold_ll
415,jold_ll -- mgalharret,jold-tlx-1,jold_ll.1.1,15,jold_ll
414,jold_ll -- mgalharret,jold-1,jold_ll.1.1,2,jold_ll
412,jold_ll -- achqt,jold-mslq-6,jold_ll.1.1,2,jold_ll
411,jold_ll -- achqt,jold-mslq-11,jold_ll.1.1,1,jold_ll
410,jold_ll -- achqt,jold-mslq-16,jold_ll.1.1,2,jold_ll
409,jold_ll -- achqt,jold-mslq-21,jold_ll.1.1,6,jold_ll
408,jold_ll -- achqt,jold-mslq-7,jold_ll.1.1,3,jold_ll
407,jold_ll -- achqt,jold-mslq-12,jold_ll.1.1,1,jold_ll
406,jold_ll -- achqt,jold-mslq-17,jold_ll.1.1,5,jold_ll
